year,median,min,max,p10,p90
1950,4.338,0.000,17.004,1.750,12.625
1951,4.788,0.027,8.544,1.483,7.429
1952,4.193,0.366,11.632,1.865,10.786
1953,4.734,0.288,15.146,1.942,11.409
1954,4.672,1.393,10.220,2.016,7.974
1955,5.430,0.530,15.801,1.696,10.335
1956,6.417,0.642,16.916,2.439,10.451
1957,3.531,0.288,14.020,0.988,7.860
1958,3.943,0.414,17.430,0.829,11.684
1959,7.673,2.317,24.965,2.644,13.189
1960,4.137,0.047,10.332,0.865,8.369
1961,4.656,0.447,14.722,2.042,11.347
1962,5.892,0.495,14.735,1.540,10.989
1963,4.372,0.164,13.888,0.403,10.545
1964,5.352,0.405,19.538,1.191,11.658
1965,5.032,0.805,17.985,0.982,14.555
1966,4.691,0.407,20.404,0.927,7.984
1967,5.021,0.875,14.162,1.391,10.745
1968,5.343,0.646,12.943,2.381,9.768
1969,6.025,0.613,12.085,0.900,10.722
1970,4.415,0.259,14.361,2.713,9.638
1971,5.628,0.043,11.145,3.115,10.907
1972,5.169,0.866,13.701,1.570,7.248
1973,3.258,0.253,13.791,0.885,10.068
1974,6.480,2.140,16.411,3.589,12.779
1975,5.199,0.865,13.698,1.361,12.758
1976,3.338,0.549,20.182,0.828,10.928
1977,5.429,0.585,17.954,1.267,11.194
1978,4.275,0.182,9.388,0.823,6.596
1979,4.912,0.040,19.930,0.768,11.751
1980,6.344,0.583,14.419,1.269,9.581
1981,4.878,0.844,9.794,1.751,7.933
1982,6.870,0.474,19.492,2.232,13.427
1983,5.972,1.425,10.359,2.327,10.097
1984,4.806,1.503,12.395,2.045,8.830
1985,3.679,0.683,14.282,1.055,10.521
1986,4.054,0.043,19.655,0.251,7.026
1987,3.714,0.043,15.240,0.810,9.729
1988,5.135,0.889,13.739,1.299,9.544
1989,3.625,0.778,14.093,1.539,8.817
1990,4.469,0.468,12.277,1.329,11.538
1991,2.325,0.000,12.497,0.765,5.799
1992,6.612,0.193,17.184,1.648,13.084
1993,4.519,0.456,9.093,1.542,6.705
1994,4.080,0.027,14.099,2.488,8.404
1995,4.830,0.027,17.009,0.361,8.963
1996,5.523,0.370,14.223,2.054,9.336
1997,5.109,0.347,13.773,0.847,7.506
1998,3.719,0.013,12.270,0.735,8.414
1999,2.817,0.155,10.913,0.513,8.084
2000,2.411,0.070,10.387,0.604,6.711
2001,4.041,0.575,12.044,1.352,8.325
2002,3.163,0.325,10.586,0.746,6.880
2003,2.978,0.016,9.537,0.425,8.015
2004,3.684,0.089,21.624,0.508,13.497
