year,median,min,max,p10,p90
1950,3.362,0.085,14.687,1.896,6.603
1951,3.561,0.000,11.387,0.021,8.267
1952,3.043,0.000,9.739,0.632,7.410
1953,3.482,0.076,10.303,0.331,6.130
1954,4.933,0.008,12.272,1.066,7.620
1955,2.428,0.000,15.484,0.155,5.690
1956,3.816,0.000,16.815,1.648,9.343
1957,3.910,0.095,7.813,1.029,6.057
1958,3.079,0.000,7.957,0.602,7.095
1959,2.559,0.000,10.391,0.463,7.621
1960,2.977,0.110,9.071,0.471,6.793
1961,3.757,0.000,8.647,0.493,7.191
1962,3.544,0.000,13.742,0.085,9.194
1963,2.275,0.000,9.822,0.272,6.176
1964,2.058,0.000,11.996,0.029,4.810
1965,3.381,0.606,10.523,1.273,6.866
1966,2.597,0.000,7.994,0.464,5.333
1967,1.642,0.000,8.388,0.526,4.726
1968,2.774,0.000,5.326,0.390,4.286
1969,2.821,0.000,9.544,0.816,7.905
1970,2.086,0.235,7.937,0.574,5.671
1971,2.200,0.000,7.214,0.762,5.601
1972,3.350,0.155,7.260,0.832,6.012
1973,2.364,0.000,15.855,0.821,11.143
1974,2.946,0.000,10.324,0.502,5.760
1975,4.082,0.000,13.407,0.542,9.318
1976,3.195,0.076,9.052,0.267,8.352
1977,3.684,0.555,16.097,0.814,9.316
1978,4.213,0.242,9.898,1.447,8.574
1979,3.491,0.270,10.906,0.528,8.250
1980,3.115,0.000,20.040,0.651,8.086
1981,3.348,0.448,11.306,0.887,8.745
1982,2.226,0.000,11.076,0.586,6.957
1983,3.260,0.051,6.977,0.975,5.433
1984,2.436,0.000,14.422,1.050,9.766
1985,3.388,0.000,11.531,0.508,9.247
1986,3.116,0.021,17.073,1.038,10.931
1987,3.996,0.000,11.690,0.328,9.370
1988,3.715,0.000,13.349,0.578,9.280
1989,3.753,0.085,9.705,0.529,7.884
1990,3.423,0.000,11.900,0.468,8.176
1991,4.362,0.471,9.656,1.413,7.216
1992,3.271,0.000,11.147,1.428,7.001
1993,3.032,0.400,8.579,0.818,7.283
1994,3.344,0.000,8.352,0.257,5.851
1995,3.820,0.528,13.675,1.499,7.817
1996,4.871,1.002,19.259,2.384,10.397
1997,4.902,0.819,22.435,1.419,11.900
1998,6.743,0.000,15.199,2.039,13.378
1999,4.952,0.000,13.796,0.937,9.390
2000,5.398,0.554,20.589,0.729,16.342
2001,7.590,1.940,21.791,2.476,15.418
2002,6.797,1.112,15.283,2.572,12.796
2003,4.886,0.314,13.381,0.830,12.007
2004,4.832,0.884,11.690,1.408,11.126
